Code,NarrowSynonym,Cod
http://purl.obolibrary.org/obo/FOODON_03411045,Vitis vinifera L.,03411045
http://purl.obolibrary.org/obo/FOODON_03411072,Vitis vinifera L.,03411072
http://purl.obolibrary.org/obo/FOODON_03411178,Vitis vinifera L.,03411178
http://purl.obolibrary.org/obo/FOODON_03412038,Vitis vinifera L.,03412038
http://purl.obolibrary.org/obo/FOODON_03411051,Brassica rapa L. subsp. pekinensis (Lour.) Hanelt,03411051
http://purl.obolibrary.org/obo/FOODON_03411051,Brassica rapa subsp. pekinensis (Lour.) Hanelt,03411051
http://purl.obolibrary.org/obo/FOODON_03411056,Citrus sinensis (L.) Osbeck,03411056
http://purl.obolibrary.org/obo/FOODON_03411339,Citrus sinensis (L.) Osbeck,03411339
http://purl.obolibrary.org/obo/FOODON_03414313,Citrus sinensis (L.) Osbeck,03414313
http://purl.obolibrary.org/obo/FOODON_03411056,Citrus ×sinensis (L.) Osbeck (pro sp.),03411056
http://purl.obolibrary.org/obo/FOODON_03411339,Citrus ×sinensis (L.) Osbeck (pro sp.),03411339
http://purl.obolibrary.org/obo/FOODON_03414313,Citrus ×sinensis (L.) Osbeck (pro sp.),03414313
http://purl.obolibrary.org/obo/FOODON_03411060,Phaseolus vulgaris L.,03411060
http://purl.obolibrary.org/obo/FOODON_03411061,Phaseolus vulgaris L.,03411061
http://purl.obolibrary.org/obo/FOODON_03411555,Phaseolus vulgaris L.,03411555
http://purl.obolibrary.org/obo/FOODON_03411999,Phaseolus vulgaris L.,03411999
http://purl.obolibrary.org/obo/FOODON_03411060,Phaseolus vulgaris var. vulgaris,03411060
http://purl.obolibrary.org/obo/FOODON_03411061,Phaseolus vulgaris var. vulgaris,03411061
http://purl.obolibrary.org/obo/FOODON_03411555,Phaseolus vulgaris var. vulgaris,03411555
http://purl.obolibrary.org/obo/FOODON_03411999,Phaseolus vulgaris var. vulgaris,03411999
http://purl.obolibrary.org/obo/FOODON_03411060,bush bean plant,03411060
http://purl.obolibrary.org/obo/FOODON_03411060,pole bean plant,03411060
http://purl.obolibrary.org/obo/FOODON_03411063,Rubus loganobaccus L. H. Bailey,03411063
http://purl.obolibrary.org/obo/FOODON_03411401,Rubus loganobaccus L. H. Bailey,03411401
http://purl.obolibrary.org/obo/FOODON_03412520,Rubus loganobaccus L. H. Bailey,03412520
http://purl.obolibrary.org/obo/FOODON_03411067,Citrus aurantiifolia (Christm. & Panz.) Swingle,03411067
http://purl.obolibrary.org/obo/FOODON_03411067,Citrus aurantiifolia (Christm.) Swingle,03411067
http://purl.obolibrary.org/obo/FOODON_03411067,Citrus ×aurantiifolia (Christm.) Swingle (pro sp.),03411067
http://purl.obolibrary.org/obo/FOODON_03411081,"Dendrobranchiata Bate, 1888",03411081
http://purl.obolibrary.org/obo/FOODON_03411081,Natantia,03411081
http://purl.obolibrary.org/obo/FOODON_03411083,Pinus,03411083
http://purl.obolibrary.org/obo/FOODON_03411083,Pinus L.,03411083
http://purl.obolibrary.org/obo/FOODON_03411083,Pinus spp.,03411083
http://purl.obolibrary.org/obo/FOODON_03411085,"Ictiobus Rafinesque, 1820",03411085
http://purl.obolibrary.org/obo/FOODON_03411091,Prunus avium (L.) L.,03411091
http://purl.obolibrary.org/obo/FOODON_03411092,Brassica juncea (L.) Czern.,03411092
http://purl.obolibrary.org/obo/FOODON_03411094,Brassica oleracea L. var. botrytis L.,03411094
http://purl.obolibrary.org/obo/FOODON_03411443,Brassica oleracea L. var. botrytis L.,03411443
http://purl.obolibrary.org/obo/FOODON_03411094,Brassica oleracea var. botrytis L.,03411094
http://purl.obolibrary.org/obo/FOODON_03411443,Brassica oleracea var. botrytis L.,03411443
http://purl.obolibrary.org/obo/FOODON_03411096,Rubus idaeus L. ssp. idaeus,03411096
http://purl.obolibrary.org/obo/FOODON_03411096,Rubus idaeus L. ssp. strigosus (Michx.) Focke,03411096
http://purl.obolibrary.org/obo/FOODON_03411096,Rubus idaeus ssp. idaeus L.,03411096
http://purl.obolibrary.org/obo/FOODON_03411096,Rubus idaeus ssp. strigosus (Michx.) Focke,03411096
http://purl.obolibrary.org/obo/FOODON_03411096,Rubus idaeus var. idaeus L.,03411096
http://purl.obolibrary.org/obo/FOODON_03411100,Vigna unguiculata (L.) Walp.,03411100
http://purl.obolibrary.org/obo/FOODON_03411196,Vigna unguiculata (L.) Walp.,03411196
http://purl.obolibrary.org/obo/FOODON_03411200,Vigna unguiculata (L.) Walp.,03411200
http://purl.obolibrary.org/obo/FOODON_03411724,Vigna unguiculata (L.) Walp.,03411724
http://purl.obolibrary.org/obo/FOODON_03411100,Vigna unguiculata (L.) Walp. subsp. unguiculata,03411100
http://purl.obolibrary.org/obo/FOODON_03411102,Cucumis melo L. subsp. melo var. inodorus H. Jacq.,03411102
http://purl.obolibrary.org/obo/FOODON_03411582,Cucumis melo L. subsp. melo var. inodorus H. Jacq.,03411582
http://purl.obolibrary.org/obo/FOODON_03411123,Satureja hortensis L.,03411123
http://purl.obolibrary.org/obo/FOODON_03411125,guinea hen,03411125
http://purl.obolibrary.org/obo/FOODON_03411136,"Sus scrofa Linnaeus, 1758",03411136
http://purl.obolibrary.org/obo/FOODON_03411136,hog,03411136
http://purl.obolibrary.org/obo/FOODON_03411136,pig,03411136
http://purl.obolibrary.org/obo/FOODON_03411138,"Squatina Duméril, 1806",03411138
http://purl.obolibrary.org/obo/FOODON_03411144,cheilopogon spp.,03411144
http://purl.obolibrary.org/obo/FOODON_03411144,cypselurus spp.,03411144
http://purl.obolibrary.org/obo/FOODON_03411144,exocoetus spp.,03411144
http://purl.obolibrary.org/obo/FOODON_03411144,hirundichthys spp.,03411144
http://purl.obolibrary.org/obo/FOODON_03411144,parexocoetus spp.,03411144
http://purl.obolibrary.org/obo/FOODON_03411145,Ocimum minimum L.,03411145
http://purl.obolibrary.org/obo/FOODON_03411146,"Armoracia rusticana Gaertn., Mey. & Scherb.",03411146
http://purl.obolibrary.org/obo/FOODON_03411153,"Sebastes marinus (Linnaeus, 1758)",03411153
http://purl.obolibrary.org/obo/FOODON_03411154,"Trichiurus Linnaeus, 1758",03411154
http://purl.obolibrary.org/obo/FOODON_03411154,Trichiurus spp.,03411154
http://purl.obolibrary.org/obo/FOODON_03411163,Palaemonidae,03411163
http://purl.obolibrary.org/obo/FOODON_03411166,Trachurus trachurus,03411166
http://purl.obolibrary.org/obo/FOODON_03411166,"Trachurus trachurus (Linnaeus, 1758)",03411166
http://purl.obolibrary.org/obo/FOODON_03411167,Acer saccharum Marsh.,03411167
http://purl.obolibrary.org/obo/FOODON_03411171,Brassica rapa L.,03411171
http://purl.obolibrary.org/obo/FOODON_03413373,Brassica rapa L.,03413373
http://purl.obolibrary.org/obo/FOODON_03411171,Brassica rapa L. subsp. perviridis L.H.Bailey,03411171
http://purl.obolibrary.org/obo/FOODON_03413373,Brassica rapa L. subsp. perviridis L.H.Bailey,03413373
