url,codigo,nome,nome_ingles,nome_cientifico,grupo,marca,Energia (kJ),Energia (kcal),Umidade (g),Carboidrato total (g),Carboidrato disponível (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),Colesterol (g),Gordura de adição (g),Proteína animal (g),Proteína vegetal (g)
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0139E,C0139E,"Peixe, água salgada, cação, posta, assado/grelhado, s/ óleo, c/ sal","Fish, saltwater, blue shark, steak, roasted/grilled, without oil, with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,413,97,"72,5","0,00","0,00","22,4","0,87","0,00","0,00","1,81","39,7","0,11","0,11","0,22",NA,"11,2","0,25",396,"24,8",237,368,"0,45","0,18","40,4","5,94","5,94","0,10","0,54","0,04",tr,tr,tr,"1,37","0,00","2,46","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0138E,C0138E,"Peixe, água salgada, cação, posta, assado/grelhado, s/ óleo, s/ sal","Fish, saltwater, blue shark, steak, roasted/grilled, without oil, unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,456,107,"72,8","2,43","2,43","22,5","0,87","0,00","0,00","1,36","39,9","0,11","0,11","0,22",NA,"11,1","0,25",218,"24,9",238,370,"0,45","0,18","40,6","5,96","5,96","0,10","0,55","0,04",tr,tr,tr,"1,38","0,00","2,47","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0420E,C0420E,"Peixe, água salgada, cação, posta, cozido, ao c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal","Fish, saltwater, blue shark, cooked, with tomato sauce (tomato, with oil, onion and garlic, unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,401,95,"76,8","3,15","2,63","17,0","1,70","0,51","0,00","1,35","29,6","0,24","0,32","0,79",NA,"10,6","0,32",271,"23,7",203,385,"0,39","0,16","30,2","31,8","18,1","0,08","0,64","0,06","0,01",tr,"0,01","1,02","4,07","5,25","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0408E,C0408E,"Peixe, água salgada, cação, posta, cozido, ao molho branco, s/ sal","Fish, saltwater, blue shark, cooked, steak, with white sauce (wheat flour, butter and milk), unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,498,118,"72,9","5,06","5,01","17,8","2,97","0,05","0,00","1,32","33,3","1,11","0,65","0,74",-,"40,7","0,33",247,"24,0",223,365,"0,47","0,15","31,7","24,1","23,9","0,08","0,68","0,05","0,07",tr,"0,00","1,13","0,00","7,10","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0144E,C0144E,"Peixe, água salgada, cação, posta, cozido, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal","Fish, saltwater, blue shark, cooked, steak, with white sauce (wheat flour, butter and milk), with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,498,118,"72,8","5,06","5,01","17,8","2,97","0,05","0,00","1,37","33,3","1,11","0,65","0,74",NA,"40,7","0,33",265,"24,0",223,365,"0,47","0,15","31,7","24,1","23,9","0,08","0,68","0,05","0,07",tr,"0,00","1,13","0,00","7,10","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0145E,C0145E,"Peixe, água salgada, cação, posta, cozido, c/ molho vermelho (tomate, c/ óleo, cebola e alho), c/ sal","Fish, saltwater, blue shark, cooked, with tomato sauce (tomato, with oil, onion and garlic, with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,401,95,"76,7","3,15","2,63","17,0","1,70","0,51","0,00","1,40","29,6","0,24","0,32","0,79",NA,"10,6","0,32",289,"23,7",203,385,"0,39","0,16","30,2","31,8","18,1","0,08","0,64","0,06","0,01",tr,"0,01","1,02","4,07","5,25","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0140E,C0140E,"Peixe, água salgada, cação, posta, cozido, drenado, s/ óleo, c/ sal","Fish, saltwater, blue shark, steak, cooked, drained, without oil, with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,404,95,"75,6","0,00","0,00","21,8","0,90","0,00","0,00","1,70","82,9","0,20","0,10","0,20",NA,"10,4","0,32",288,"21,0",202,247,"0,60","0,03","33,7","11,6","11,6","0,10","0,51",tr,"0,04","9,72",tr,"1,13","0,00","1,99","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0538E,C0538E,"Peixe, água salgada, cação, posta, cozido, drenado, s/ sal","Fish, saltwater, blue shark/dogfish, steak, boiled, drained, without salt",Carcharhinus plumbeus ,Pescados e frutos do mar,,463,109,"74,2","0,00","0,00","23,8","0,75","0,00","0,00","1,18",,"0,20","0,10","0,20",NA,"10,3","0,32",114,"21,1",203,248,"0,61","0,03","33,9","11,6","11,6","0,10","0,51",tr,"0,04","9,77",tr,"1,14","0,00","2,00","0,00","0,00","83,3",,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0141E,C0141E,"Peixe, água salgada, cação, posta, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal","Fish, saltwater, blue shark, steak, stewed (with onion, tomato and bell pepper), with oil, with salt",Carcharhinus spp. ,Pescados e Frutos do mar,,586,140,"70,4","3,47","2,97","18,7","5,76","0,51","0,00","1,70","32,6","0,86","1,26","3,20",NA,"11,7","0,34",389,"25,7",223,413,"0,42","0,19","33,2","25,1","15,0","0,08","1,05","0,06","0,01",tr,"0,01","1,12","9,35","5,88","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0396E,C0396E,"Peixe, água salgada, cação, posta, ensopado (c/ cebola, tomate e pimentão), c/ óleo, s/ sal","Fish, saltwater, blue shark, steak, stewed (with onion, tomato and bell pepper), with oil, unsalted",Carcharhinus spp. ,Pescados e Frutos do mar,,586,140,"70,8","3,47","2,97","18,7","5,76","0,51","0,00","1,25","32,6","0,86","1,26","3,20",NA,"11,6","0,33",210,"25,7",223,413,"0,42","0,19","33,2","25,1","15,0","0,08","1,05","0,06","0,01",tr,"0,01","1,12","9,35","5,88","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0048E,C0048E,"Peixe, água salgada, cavalinha, escabeche (molho com vinagre, óleo e temperos),  s/ sal","Fish, saltwater, mackrel, prepared - sauce from vinegar, oil and spices, unsalted", ,Pescados e Frutos do mar,,772,185,"63,8","0,00","0,00","24,3","9,70","0,00","0,00","2,20",112,"2,76","3,28","2,77",NA,"14,9","0,85","75,8","43,6",311,635,"0,71",NA,NA,562,"50,6",NA,NA,"0,15","0,24","5,74","0,53","8,03","1,84","1,15","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0433E,C0433E,"Peixe, água salgada, corvina do mar, à milanesa (farinha de rosca e ovo), frito (c/ óleo de soja), s/ sal","Fish, saltwater, croaker, breaded (egg and breadcrumbs), fried (with soy oil), unsalted",Micropogonias furnieri ,Pescados e Frutos do mar,,1140,272,"46,2","15,7","14,7","23,6","13,0","0,96","0,00","1,51",109,"2,70","3,34","6,42","0,07","26,6","1,92",147,"36,2",235,371,"0,87","0,12","78,2","78,7","78,7","0,52","1,12","0,16","0,09","2,67","0,02","2,39","0,00","38,6","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0149E,C0149E,"Peixe, água salgada, corvina do mar, à milanesa (ovo e farinha de trigo), frito (c/ óleo de soja), c/ sal","Fish, saltwater, croaker, breaded (egg and breadcrumbs), fried (with soy oil), with salt",Micropogonias furnieri ,Pescados e Frutos do mar,,1140,272,"45,4","15,7","14,7","23,6","13,0","0,96","0,00","2,30",109,"2,70","3,34","6,42","0,07","26,8","1,92",466,"36,3",235,371,"0,87","0,12","78,2","78,7","78,7","0,52","1,12","0,16","0,09","2,67","0,02","2,39","0,00","38,6","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0146E,C0146E,"Peixe, água salgada, corvina do mar, assado/grelhado, s/ óleo, c/ sal","Fish, saltwater, croaker, roasted/grilled, without oil, with salt",Micropogonias furnieri ,Pescados e Frutos do mar,,585,139,"68,7","0,00","0,00","26,6","3,56","0,00","0,00","1,79",116,"1,49","1,19","0,30","0,02","60,1","0,54",264,"24,0",175,290,"0,67","0,02","93,5",tr,tr,"0,71","1,45","0,11","0,10","4,21",tr,"3,16","0,00","16,8","0,45","0,00",,,,
