url,codigo,nome,nome_ingles,nome_cientifico,grupo,marca,Energia (kJ),Energia (kcal),Umidade (g),Carboidrato total (g),Carboidrato disponível (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),Colesterol (g),Gordura de adição (g),Proteína animal (g),Proteína vegetal (g)
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0563A,C0563A,"Canelone, frios, c/ molho de tomate, caseiro, c/ sal","Cannelloni, mixed, with tomato sauce, homemade, with salt", ,Cereais e derivados,,728,174,"64,7","12,1","11,1","11,8","8,92","1,00","0,00","2,42","34,9","4,25","2,31","0,96","0,22",202,"0,92",570,"15,0",213,177,"1,53","0,08","2,87","29,2","15,6","0,15","0,32","0,18","0,06","2,16","0,01","0,71","4,89","33,2","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0562A,C0562A,"Canelone, frios, s/ molho, caseiro","Cannelloni, mixed, without sauce, homemade", ,Cereais e derivados,,825,197,"59,8","14,2","13,6","14,0","9,49","0,65","0,00","2,53","42,7","4,93","2,50","0,41","0,26",241,"1,07",595,"14,3",248,141,"1,80","0,07","8,96","36,3","34,8","0,19","0,11","0,19","0,07","2,75","0,00","0,85","0,98","39,5","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0952A,C0952A,"Canelone, proteína de soja, c/ molho de tomate, c/ sal, caseiro","Cannelloni, soy protein, with tomato sauce, with salt, homemade", ,Cereais e derivados,,635,150,"61,3","21,3","18,1","12,6","2,35","3,16","0,00","2,46","5,64","0,53","0,64","1,38","0,00","29,7","2,53",354,"10,7",126,116,"0,73","0,06","1,12","54,9","28,6","0,03","0,41","0,04","0,02","1,35","0,04","0,01","5,42","31,7","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0593A,C0593A,"Canelone, ricota e espinafre, c/ molho branco, caseiro, c/ sal","Cannelloni, ricotta cheese and spinach, with white sauce, homemade, with salt", ,Cereais e derivados,,596,142,"67,7","20,6","19,4","6,14","4,12","1,15","0,00","1,49","20,3","1,99","1,12","0,66","0,05","84,9","1,15",354,"11,9","75,3",111,"0,43","0,05","3,20","55,4","50,0","0,06","0,64","0,05","0,11","2,42","0,01","0,17","0,15","66,6","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0529F,C0529F,"Canjica de milho com costela de porco, c/ linguiça calabresa, tomate, cheiro verde, pimenta do reino, c/ óleo, cebola e alho, c/ sal","Corn grain, pork ribs, tomato, parskey and chive, black pepper, with oil, onion and salt", ,Carnes e derivados,,816,195,"63,4","13,5","12,6","10,7","11,1","0,90","0,00","1,25","33,6","3,90","4,76","1,90","0,02","10,7","0,56",257,"9,27","75,2",143,"1,09","0,05","2,24","5,69","5,78","0,08","0,28","0,21","0,03","3,06","0,04","0,32","3,77","7,18","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0184A,C0184A,"Canjica, milho, branca, cozida, c/ leite integral e açúcar","Corn, grain, white, cooked, with whole milk and sugar", ,Cereais e derivados,,477,113,"72,5","23,6","22,4","2,36","1,24","1,22","0,00","0,27","1,35","0,60","0,37","0,15","0,02","42,6","0,06","27,6","5,84","40,6","69,8","0,28","0,03","4,54","0,58","0,29","0,00","0,04",tr,"0,04",tr,tr,"0,13",tr,"3,76","0,00","7,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0185A,C0185A,"Canjica, milho, branca, cozida, drenada","Corn, grain, white, cooked, drained", ,Cereais e derivados,,470,111,"71,9","25,6","24,3","2,25","0,22","1,27","0,00","0,08","0,00","0,07","0,05","0,09",NA,"0,64","0,10","0,21","4,01","12,6","24,2","0,11","0,01","4,86","0,00","0,00","0,00","0,02",tr,tr,tr,tr,"0,00",tr,"3,97","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0126A,C0126A,"Canjica, milho, branca, crua","Corn, grain, white, raw", ,Cereais e derivados,,1456,343,"12,9","79,2","75,3","6,99","0,69","3,94","0,00","0,25","0,00","0,21","0,14","0,28",NA,"1,98","0,32","0,80","12,4","48,9","93,7","0,37","0,05","15,1","0,00","0,00","0,00","0,07",tr,tr,tr,tr,"0,00",tr,"17,6","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0147K,C0147K,"Canudinho, c/ recheio de brigadeiro","Brazilian sweet, stuffed with cooked condensed milk and chocolate", ,Produtos açucarados,,1463,346,"20,3","62,8","62,1","8,65","6,87","0,72","0,00","1,35","38,1","3,26","1,91","1,29","0,03","6,70","1,68","9,14","9,14","41,1","50,6","0,32","0,05","2,50","53,8","53,8",NA,"0,11","0,08","0,02","0,29","0,00","0,05","0,00","56,4","0,00",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0148K,C0148K,"Canudinho, c/ recheio de brigadeiro, c/ cobertura de chocolate","Brazilian sweet, stuffed with cooked condensed milk and chocolate, with chocolate topping", ,Produtos açucarados,,1621,385,"16,5","62,3","61,5","8,07","11,7","0,78","0,00","1,49","33,8","6,17","3,56","1,21","0,08","44,8","1,74","20,9","20,8","75,3",102,"0,44","0,10","2,90","43,0","43,0","0,00","0,19","0,08","0,06",tr,tr,"0,19","0,00","47,4","0,00",NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0089K,C0089K,"Canudinho, c/ recheio de creme de coco","Brazilian sweet, stuffed with coconut cream", ,Produtos açucarados,,1123,267,"42,2","42,2","41,0","6,49","8,28","1,17","0,00","0,87","23,9","4,48","1,37","1,17","0,09","94,2","1,84","51,0","20,7",113,189,"0,75","0,08","8,18","35,0","34,6","0,13","0,18","0,10","0,17","0,75","0,12","0,21","0,61","62,2",NA,NA,,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0631A,C0631A,"Capeleti, c/ carne moída refogada, c/ molho de tomate, caseiro, c/ sal","Capeleti, with braised ground meat beef, with tomato sauce, homemade, with salt", ,Cereais e derivados,,628,149,"64,5","24,2","22,5","6,96","3,07","1,67","0,00","1,15","20,4","1,01","0,94","1,01","0,02","9,88","1,68",263,"7,55","57,2",131,"1,09","0,08","2,84","32,0","18,4","0,07","0,35","0,07","0,03","3,16","0,02","0,36","4,11","65,9","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0630A,C0630A,"Capeleti, c/ carne moída refogada, s/ molho, caseiro, c/ sal","Capeletti, with braised ground meat beef, without sauce, homemade, with salt", ,Cereais e derivados,,701,166,"59,7","29,3","27,9","7,77","2,25","1,49","0,00","0,98","24,1","0,97","0,78","0,41","0,02","9,55","1,98",224,"5,05","58,1","80,6","1,12","0,07","3,44","5,98","5,97","0,08","0,14","0,05","0,02","3,95","0,00","0,36","0,04","80,3","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0648A,C0648A,"Capeleti, c/ peito de frango refogado, c/ molho de tomate, caseiro, c/ sal","Capeletti, with braised breast chicken, with tomato sauce, homemade, with salt", ,Cereais e derivados,,607,144,"64,9","24,2","22,5","7,41","2,31","1,67","0,00","1,10","19,4","0,72","0,69","0,76","0,00","10,4","1,53",233,"10,2","68,8",138,"0,43","0,08","3,66","32,0","18,3","0,06","0,38","0,06","0,01","3,43","0,01","0,05","4,12","66,4","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0647A,C0647A,"Capeleti, c/ peito de frango refogado, s/ molho, cozido, caseiro, c/ sal","Capeletti, with braised breast chicken, without sauce, boiled, homemade, with salt", ,Cereais e derivados,,680,161,"60,0","29,3","27,9","8,22","1,49","1,49","0,00","0,93","23,2","0,68","0,53","0,16","0,00","10,1","1,83",194,"7,67","69,8","87,6","0,46","0,07","4,25","5,89","5,88","0,08","0,16","0,05",tr,"4,22",tr,"0,05","0,04","80,8","0,47","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0834B,C0834B,"Caponata de berinjela, conserva de berinjela, c/ sal","Eggplant caponata, with salt", ,Vegetais e derivados,,856,207,"69,4","10,3","8,49","1,23","18,3","1,79","0,00","0,76","0,00","2,74","11,5","3,85","0,02","13,2","0,48",130,"10,4","28,7",162,"0,21","0,06","0,20","23,4","11,7","0,00","1,48","0,04","0,01","0,04","0,05","0,00","34,3","9,78","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0835B,C0835B,"Caponata de berinjela, conserva de berinjela, s/ sal","Eggplant caponata, unsalted", ,Vegetais e derivados,,880,213,"68,9","10,6","8,69","1,29","18,8","1,90","0,00","0,47","0,00","2,82","11,8","3,89","0,02","13,7","0,51","1,97","11,5","29,8",182,"0,23","0,07","0,21","26,0","13,1","0,00","1,54","0,04","0,01","0,04","0,05","0,00","34,2","9,69","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0012C,C0012C,"Caqui,  c/ casca, in natura","Kaki, with peel, raw",Diospyros kaki L.,Frutas e derivados,,285,68,"80,6","18,3","13,7","0,48","0,20","4,56","0,00","0,45","0,00","0,02","0,04","0,05","0,00","12,7","0,09","2,09","7,07","17,6",156,"0,11",tr,"0,20",239,119,"0,00","0,77",tr,tr,tr,"0,03","0,00","20,6","7,89","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0910B,C0910B,"Cará, cozido, drenada, s/ óleo, c/ sal","Taro, cooked, drained, without oil, with salt",Dioscorea alata L.,Vegetais e derivados,,326,77,"78,6","18,8","16,2","1,52","0,11","2,63","0,00","0,94","0,00","0,03","0,01","0,07","0,00","5,23","0,31",128,"14,8","27,7",202,"0,24","0,11","0,49","13,6","6,82","0,00","0,38","0,12","0,00","0,00","0,12","0,00","0,00","11,3","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0353B,C0353B,"Cará, refogado (c/ óleo, cebola e alho), c/ sal","Taro, braised (with oil, onion and garlic), with salt",Dioscorea alata L.,Vegetais e derivados,,414,99,"72,0","22,9","15,7","2,36","1,33","7,16","0,00","1,41","0,00","0,21","0,28","0,78","0,01","4,72","0,23",187,"11,9","37,2",219,"0,19","0,07","0,90","9,90","4,95","0,00","0,44","0,10",tr,tr,"0,03","0,00","7,66","14,1","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0352B,C0352B,"Cará, refogado (c/ óleo, cebola e alho), s/ sal","Taro, braised (with oil, onion and garlic), unsalted",Dioscorea alata L.,Vegetais e derivados,,416,99,"72,3","23,0","15,8","2,37","1,34","7,19","0,00","0,95","0,00","0,21","0,28","0,78","0,01","4,63","0,23","0,09","11,9","37,4",220,"0,19","0,07","0,90","9,94","4,97","0,00","0,44","0,10",tr,tr,"0,03","0,00","7,69","14,2","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0046B,C0046B,"Cará, s/ casca, cozida, drenada, s/ óleo, s/ sal","Taro, peeled, boiled, drained, without oil, unsalted",Dioscorea alata L.,Vegetais e derivados,,327,77,"78,9","18,9","16,2","1,53","0,11","2,63","0,00","0,62","0,00","0,03","0,01","0,07","0,00","5,17","0,31","1,01","14,8","27,8",203,"0,24","0,11","0,49","13,7","6,84","0,00","0,38","0,12",tr,tr,"0,12","0,00",tr,"11,3","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0351B,C0351B,"Cará, s/ casca, cozido, drenado, c/ óleo de soja, c/ sal","Taro, peeled, cooked, drained, with soy oil, with salt",Dioscorea alata L.,Vegetais e derivados,,493,118,"74,6","17,8","15,3","1,45","5,08","2,49","0,00","1,06","0,00","0,79","1,16","3,05","0,02","5,00","0,30",188,"14,0","26,3",192,"0,23","0,12","0,47","12,9","6,47","0,00","0,97","0,11",tr,tr,"0,11","0,00",tr,"10,7","0,32","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0350B,C0350B,"Cará, s/ casca, cozido, drenado, c/ óleo de soja, s/ sal","Taro, peeled, cooked, drained, with soy oil, unsalted",Dioscorea alata L.,Vegetais e derivados,,496,118,"74,9","17,9","15,4","1,45","5,11","2,50","0,00","0,59","0,00","0,79","1,17","3,06","0,03","4,91","0,30","0,96","14,1","26,4",193,"0,23","0,12","0,47","13,0","6,50","0,00","0,97","0,11",tr,tr,"0,11","0,00",tr,"10,7","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0017B,C0017B,"Cará, s/ casca, cru","Taro, peeled, raw",Dioscorea alata L.,Vegetais e derivados,,369,88,"73,7","23,0","15,7","2,28","0,14","7,27","0,00","0,93","0,00","0,03",tr,"0,06","0,00","3,91","0,21",tr,"11,5","34,7",211,"0,18","0,06","0,90","11,4","5,70","0,00","0,29","0,11",tr,tr,"0,02","0,00","8,79","19,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0055C,C0055C,"Carambola, c/ casca, in natura","Star fruit, with peel, raw",Averrhoa carambola L.,Frutas e derivados,,198,47,"87,1","11,5","9,45","0,87","0,18","2,03","0,00","0,37","0,00","0,01","0,02","0,10","0,00","4,79","0,20","4,09","7,36","10,7",132,"0,24","0,08","0,42","3,31","1,65","0,00","0,08","0,12",tr,tr,tr,"0,00","60,9","8,32","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0526F,C0526F,"Carne desfiada (carne louca), c/ sal",Brazilian recipe, ,Carnes e derivados,,930,223,"61,0","5,98","4,82","17,5","14,6","1,16","0,00","0,88","64,1","4,55","4,10","5,01","0,22","36,5","1,96",314,"16,8",125,277,"5,02","0,14","0,33","8,19","4,21","1,66","1,15","0,03","0,03","0,98","0,12","1,61","6,25","8,93","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0527F,C0527F,"Carne desfiada (carne louca), s/ sal",Brazilian recipe, ,Carnes e derivados,,930,223,"61,2","5,74","4,68","17,5","14,7","1,06","0,00","0,86","64,1","4,56","4,12","5,08","0,22","10,7","1,59","54,5","15,1",125,270,"4,92","0,10","0,21","8,19","4,09","1,66","1,16","0,03","0,03","0,98","0,12","1,61","6,29","8,92","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0012F,C0012F,"Carne, avestruz, apex, cru","Meat, ostrich, tip trimmed, raw",Struthio camelus African Black,Carnes e derivados,,617,146,"64,3","1,47","1,47","30,9","1,82","0,00","0,00","1,50","57,0","0,68","0,63","0,36",NA,"5,20","10,7",100,"9,80","92,2",126,"17,8","0,46",NA,NA,"0,00",NA,"0,16","0,29","0,43","7,07","0,77","7,44","0,00","12,0","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0013F,C0013F,"Carne, avestruz, coxa externa, crua","Meat, ostrich, outside leg, raw",Struthio camelus African Black,Carnes e derivados,,611,144,"64,8","1,03","1,03","30,8","1,91","0,00","0,00","1,48","63,3","0,59","0,57","0,42",NA,"5,40","14,2",129,"10,00","89,4",122,"15,2","0,52",NA,NA,"0,00",NA,"0,19","0,30","0,44","7,13","0,77","7,51","0,00","11,5","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0014F,C0014F,"Carne, avestruz, coxa interna, crua","Meat, ostrich, inside leg, raw",Struthio camelus African Black,Carnes e derivados,,552,130,"67,5","0,61","0,61","29,1","1,25","0,00","0,00","1,48","48,2","0,44","0,44","0,28",NA,"5,80","11,6","97,3","9,40","91,6",132,"15,6","0,46",NA,NA,"0,00",NA,"0,15","0,27","0,40","6,55","0,71","6,89","0,00","10,8","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C1069F,C1069F,"Carne, avestruz, cozida, s/ óleo, s/ sal (média de diferentes cortes)","Meat, ostrich, boiled, without oil, without salt (average of different cuts)",Struthio camelus African Black,Carnes e derivados,,776,183,"55,5","0,92","0,92","39,0","2,60","0,00","0,00","1,98",,"0,84","1,07","0,54",NA,"6,85","15,9",131,"12,6",116,161,"15,8","0,66","0,00","0,00","0,00","0,00","0,19","0,37","0,54","8,84","0,96","9,31","0,00","15,5","0,00","0,00","66,3",,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0011F,C0011F,"Carne, avestruz, crua (média de diferentes cortes)","Meat, ostrich, raw (average of several cuts)",Struthio camelus African Black,Carnes e derivados,,597,141,"65,7","0,71","0,71","30,0","2,00","0,00","0,00","1,52","51,0","0,64","0,82","0,41",NA,"5,27","12,3",100,"9,70","89,8",124,"12,2","0,51",NA,"0,00","0,00",NA,"0,15","0,28","0,41","6,80","0,74","7,16","0,00","11,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0015F,C0015F,"Carne, avestruz, filet mingon, crua","Meat, ostrich, inside strip, raw",Struthio camelus African Black,Carnes e derivados,,647,153,"65,1","1,91","1,91","27,8","3,83","0,00","0,00","1,29","97,4","1,23","1,57","0,79",NA,"4,20","13,2",102,"9,40","87,6",110,"4,58","0,70",NA,NA,"0,00",NA,"0,28","0,29","0,42","6,92","0,75","7,29","0,00","12,1","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0016F,C0016F,"Carne, avestruz, leque, crua","Meat, ostrich, fan, raw",Struthio camelus African Black,Carnes e derivados,,578,137,"66,2","0,40","0,40","30,1","1,63","0,00","0,00","1,67","44,9","0,58","0,58","0,31",NA,"5,40","12,0",109,"9,80","89,0",130,"8,24","0,42",NA,NA,"0,00",NA,"0,12","0,29","0,42","6,91","0,75","7,27","0,00","11,7","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0017F,C0017F,"Carne, avestruz, redondo, crua","Meat, ostrich, round, raw",Struthio camelus African Black,Carnes e derivados,,596,141,"66,1","0,74","0,74","29,2","2,35","0,00","0,00","1,58","19,2","0,59","0,72","0,25",NA,"5,60","11,8","84,4","9,80","89,2",126,"11,6","0,48",NA,NA,"0,00",NA,"0,06","0,21","0,31","5,13","0,56","5,40","0,00","8,20","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0364F,C0364F,"Carne, boi, acém moída, cozida, c/ azeitona, milho verde, ovo cozido, c/ óleo, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked, with carrot, zucchini, corn, with oil, onion and garlic, with salt", ,Carnes e derivados,,794,190,"64,6","3,54","2,48","18,9","11,3","1,05","0,00","1,66",103,"3,96","4,76","1,33","0,16","13,9","2,49",413,"15,2",135,218,"5,48","0,08","1,53","16,6","13,9","1,99","0,59","0,01","0,24","1,58","0,01","1,78","0,61","13,0","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0365F,C0365F,"Carne, boi, acém moída, cozida, c/ azeitona, milho verde, ovo cozido, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked, with carrot, zucchini, corn, with oil, onion and garlic, unsalted", ,Carnes e derivados,,800,192,"64,8","3,60","2,54","18,9","11,4","1,07","0,00","1,22",103,"3,97","4,79","1,40","0,16","13,9","2,49",233,"15,3",135,220,"5,48","0,08","1,53","16,6","13,9","1,99","0,61","0,01","0,24","1,58","0,02","1,78","0,65","13,1","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0356F,C0356F,"Carne, boi, acém moída, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked,  with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, with salt", ,Carnes e derivados,,575,138,"73,1","3,53","2,69","15,2","7,15","0,84","0,00","1,08","56,7","2,82","2,79","0,84","0,14","8,10","1,55",209,"13,3",100,217,"4,53","0,05","0,10","66,1","33,9","1,53","0,31","0,02","0,18","1,14","0,02","1,43","1,46","7,48","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0357F,C0357F,"Carne, boi, acém moída, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked,  with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, unsalted", ,Carnes e derivados,,580,139,"73,3","3,60","2,74","15,2","7,26","0,85","0,00","0,63","56,7","2,83","2,81","0,91","0,14","8,07","1,55","29,8","13,4",101,219,"4,54","0,05","0,11","66,1","33,9","1,53","0,32","0,02","0,18","1,14","0,02","1,43","1,51","7,54","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0358F,C0358F,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked,  with potato, with oil, onion and garlic, with salt", ,Carnes e derivados,,708,169,"67,2","3,75","3,26","19,2","8,75","0,49","0,00","1,19","72,2","3,53","3,48","0,87","0,17","4,59","1,93",217,"14,1",124,250,"5,74","0,07","0,08","0,00","0,00","1,95","0,18","0,02","0,22","1,23","0,03","1,82","1,38","5,64","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0359F,C0359F,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked,  with potato, with oil, onion and garlic, unsalted", ,Carnes e derivados,,714,171,"67,4","3,82","3,31","19,2","8,86","0,50","0,00","0,74","72,2","3,55","3,50","0,94","0,17","4,56","1,93","37,3","14,2",125,252,"5,74","0,07","0,08","0,00","0,00","1,95","0,20","0,02","0,22","1,23","0,03","1,82","1,42","5,70","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0362F,C0362F,"Carne, boi, acém moída, cozida, c/ cenoura, abobrinha, milho, ervilha, c/ óleo, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked, with carrot, zucchini, corn and green pea, with oil, onion and garlic, with salt", ,Carnes e derivados,,613,149,"70,1","5,47","4,03","15,8","7,39","1,44","0,00","1,28","56,7","2,88","2,86","0,94","0,14","8,68","1,74",277,"16,9",112,223,"4,68","0,07","0,24","79,8","39,9","1,53","0,33","0,02","0,18","1,58","0,02","1,43","1,45","16,9","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0363F,C0363F,"Carne, boi, acém moída, cozida, c/ cenoura, abobrinha, milho, ervilha, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked, with carrot, zucchini, corn and green pea, with oil, onion and garlic, unsalted", ,Carnes e derivados,,618,150,"70,3","5,54","4,09","15,8","7,50","1,45","0,00","0,83","56,7","2,90","2,89","1,01","0,14","8,64","1,74","98,0","17,0",112,224,"4,68","0,07","0,25","79,8","39,9","1,53","0,34","0,02","0,18","1,58","0,02","1,43","1,49","16,9","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0354F,C0354F,"Carne, boi, acém moída, cozida, c/ óleo de soja, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked,  with oil, onion and garlic, with salt", ,Carnes e derivados,,867,208,"61,1","0,68","0,56","25,5","11,5","0,12","0,00","1,28","98,0","4,73","4,63","0,94","0,23","4,69","2,54",229,"17,0",159,256,"7,71","0,07","0,03","0,00","0,00","2,64","0,20","0,00","0,30","1,68","0,01","2,47","0,41","5,52","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0355F,C0355F,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked,  with oil, onion and garlic, unsalted", ,Carnes e derivados,,873,209,"61,4","0,75","0,61","25,5","11,6","0,14","0,00","0,84","98,0","4,75","4,65","1,01","0,23","4,66","2,54","49,8","17,0",159,258,"7,71","0,07","0,03","0,00","0,00","2,64","0,21","0,00","0,30","1,68","0,01","2,47","0,45","5,58","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0360F,C0360F,"Carne, boi, acém moída, cozida, c/ vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal","Meat, beef, ground, chuck, cooked,  with vegetables - carrot, chayote, pod, with oil, onion and garlic, with salt", ,Carnes e derivados,,639,153,"70,6","2,30","1,61","17,7","8,24","0,70","0,00","1,12","67,0","3,29","3,25","0,87","0,16","8,14","1,79",214,"14,5",114,220,"5,32","0,05","0,08","66,1","33,9","1,81","0,31","0,01","0,21","1,32","0,01","1,69","1,08","7,43","0,45","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0361F,C0361F,"Carne, boi, acém moída, cozida, c/ vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal","Meat, beef, ground, chuck, cooked,  with vegetables - carrot, chayote, pod, with oil, onion and garlic, unsalted", ,Carnes e derivados,,644,154,"70,9","2,37","1,66","17,8","8,35","0,71","0,00","0,67","67,0","3,31","3,27","0,94","0,16","8,10","1,79","34,8","14,5",115,221,"5,33","0,05","0,09","66,1","33,9","1,81","0,33","0,01","0,21","1,32","0,02","1,69","1,12","7,49","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0025F,C0025F,"Carne, boi, acém moída, cozida, s/ óleo, s/ sal","Meat, beef, ground, chuck, cooked, without oil, unsalted",Bos taurus ,Carnes e derivados,,857,205,"61,6","0,00","0,00","26,7","10,9","0,00","0,00","0,84",103,"4,80","4,60","0,30","0,24","4,03","2,65","52,4","17,1",164,255,"8,10","0,06",NA,tr,tr,"2,78","0,06",tr,"0,32","1,76",tr,"2,60","0,00","5,15","0,00","0,00",,,,
http://www.tbca.net.br/base-dados/int_composicao_alimentos.php?cod_produto=C0650F,C0650F,"Carne, boi, acém, cozida, s/ óleo, c/ sal","Meat, beef, chuck, cooked, without oil, with salt",Bos taurus ,Carnes e derivados,,854,204,"61,3","0,00","0,00","26,6","10,9","0,00","0,00","1,28",102,"4,78","4,58","0,30","0,24","4,12","2,64",231,"17,0",163,254,"8,06","0,06","4,62",tr,tr,"0,10","0,17",tr,"0,32","1,76",tr,"2,76","0,00","3,08","0,45","0,00",,,,
